Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-canaropyranosyl]-17$\beta$-marsdenin,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_011,Pregnane Glycoside,Frontiers in Molecular Biosciences,Showed an IC50 of 13.71 µM against porcine pancreatic α-amylase.,,,,,,,,,,,,,,,,
Quercetin,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_012,Flavonoid,SN Applied Sciences,"Docking scores: -13.138 kcal/mol (GSK-3$\beta$), -12.860 kcal/mol (GLP-1R), -11.687 kcal/mol (Aldose Reductase).",302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Chicoric acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281764,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,C22H18O12,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_013,Hydroxycinnamic acid,SN Applied Sciences,Exhibited high stability with GLP-1R (ΔG = -62.038 kcal/mol) and high docking scores across all three targets.,474.37,1.23,6.0,10.0,208.12,9.0,34.0,2.0,0.091,0.172,1.0,True,False,True,1.9176176846235056,0.8508700797321509
Rosmarinic acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281792,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C18H16O8,"Aldose Reductase inhibitor, GSK-3$\beta$ inhibitor","Human Aldose Reductase, GSK-3$\beta$, GLP-1R",10.1007/s42452-021-04880-2,2022,AFRO11_014,Hydroxycinnamic acid,SN Applied Sciences,Lowest binding energy against Aldose Reductase with an XP glide score of -15.385 kcal/mol.,360.32,1.76,5.0,7.0,144.52,6.0,26.0,2.0,0.111,0.298,0.0,True,False,True,0.6521017577289976,0.3159111961313288
S-methylcysteinesulfoxide (SMCS),Allium cepa L.,Onion,Alliaceae,Bulb,Nigeria,82142,CS(=O)CC(C(=O)O)N,C4H9NO3S,"Antidiabetic, insulin secretagogue","Pancreatic β-cells, liver insulin-inactivating sites",10.4172/2155-6156.1000546,2015,AFRO11_015,Organosulfur / Amino acid derivative,Journal of Diabetes & Metabolism,Stimulates insulin secretion; competes with insulin for liver inactivating sites.,151.19,-1.22,2.0,3.0,80.39,3.0,9.0,0.0,0.75,0.529,0.0,True,True,False,-0.8401068025198729,-1.152651385936349
S-allylcysteinesulfoxide (SACS),Allium sativum L.,Garlic,Alliaceae,Clove,Nigeria,121922,C=CCS(=O)CC(C(=O)O)N,C6H11NO3S,"Antidiabetic, antioxidant, gluconeogenesis inhibitor","Hepatic gluconeogenic enzymes, pancreatic β-cells",10.4172/2155-6156.1000546,2015,AFRO11_016,Organosulfur / Amino acid derivative,Journal of Diabetes & Metabolism,Inhibits gluconeogenesis and lipid peroxidation; precursor of allicin.,177.22,-0.67,2.0,3.0,80.39,5.0,11.0,0.0,0.5,0.546,0.0,True,True,False,-0.7764609892470875,-0.6327857907150923
Lophenol,Aloe vera (L.) Burm.f.,Aloe vera,Asphodelaceae,Leaf gel / pulp,Nigeria,160482,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCCC(C)C)C)C)O,C28H48O,"Antidiabetic, blood glucose lowering","Pancreatic β-cells, carbohydrate metabolizing enzymes",10.4172/2155-6156.1000546,2015,AFRO11_017,Phytosterol,Journal of Diabetes & Metabolism,Causes significant reduction in HbA1c levels.,400.69,7.63,1.0,1.0,20.23,5.0,29.0,0.0,0.929,0.47,1.0,True,True,False,-1.9068095317212066,1.747114526964498
Catharanthine,Catharanthus roseus (L.) G.Don,Madagascar Periwinkle,Apocynaceae,Fresh leaf juice,"Nigeria, UK",5458190,CCC1=CC2CC3(C1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,C21H24N2O2,"Hypoglycemic, antidiabetic",Hepatic glucose metabolizing enzymes,10.4172/2155-6156.1000546,2015,AFRO11_018,Terpenoid Indole Alkaloid,Journal of Diabetes & Metabolism,Increases hepatic utilization of glucose.,336.44,3.18,1.0,3.0,45.33,2.0,25.0,2.0,0.476,0.677,0.0,True,True,True,-1.291099418854623,0.06655353823470994
Vindoline,Catharanthus roseus (L.) G.Don,Madagascar Periwinkle,Apocynaceae,Fresh leaf juice,"Nigeria, UK",260535,CCC12C=CCN3C1C4(CC3)C(C(C2OC(=O)C)(C(=O)OC)O)N(C5=C4C=CC(=C5)OC)C,C25H32N2O6,"Hypoglycemic, antidiabetic","Hepatic glycogen synthase, G6PDH",10.4172/2155-6156.1000546,2015,AFRO11_019,Terpenoid Indole Alkaloid,Journal of Diabetes & Metabolism,Suppresses gluconeogenic enzymes.,456.54,1.64,1.0,8.0,88.54,4.0,33.0,1.0,0.6,0.541,0.0,True,True,True,-0.0006111537164095237,0.22569163804311818
Cinnamaldehyde,Cinnamomum cassia,Chinese cinnamon,Lauraceae,Bark,Nigeria,637511,C1=CC=C(C=C1)C=CC=O,C9H8O,"Insulin mimetic, antidiabetic","3T3-L1 Adipocytes, insulin pathways",10.4172/2155-6156.1000546,2015,AFRO11_020,Phenylpropanoid,Journal of Diabetes & Metabolism,Enhances insulin action and increases glucose uptake.,132.16,1.9,0.0,1.0,17.07,2.0,10.0,1.0,0.0,0.443,0.0,True,True,False,-2.1652785848451592,-0.5652391089695332
Beta-sitosterol,Coccinia indica,Ivy gourd,Cucurbitaceae,Leaves,Nigeria,222284,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,C29H50O,Hypoglycemic,"Glucose-6-phosphatase, glycogen synthase",10.4172/2155-6156.1000546,2015,AFRO11_021,Phytosterol,Journal of Diabetes & Metabolism,Suppresses key gluconeogenic enzymes.,414.72,8.02,1.0,1.0,20.23,6.0,30.0,0.0,0.931,0.436,1.0,True,True,False,-1.8861181797666173,2.034981498230716
Leucopelargonidin derivative,Ficus bengalensis Linn.,Indian Banyan tree,Moraceae,"Bark, leaves",Nigeria,282014,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O,C15H14O5,"Hypoglycemic, insulin secretagogue","Pancreatic β-cells, insulinase",10.4172/2155-6156.1000546,2015,AFRO11_022,"Flavonoid / Flavan-3,4-diol",Journal of Diabetes & Metabolism,Stimulates insulin secretion and inhibits insulinase activity.,274.27,1.84,4.0,5.0,90.15,1.0,20.0,2.0,0.2,0.637,0.0,True,True,True,-0.4015854917271885,-0.6263301921529543
Gymnemic acid,Gymnema sylvestre,Gurmar,Asclepiadaceae,Leaves,Nigeria,None,,,"Antidiabetic, insulin secretagogue","Pancreatic Islets, gluconeogenic enzymes",10.4172/2155-6156.1000546,2015,AFRO11_023,Triterpene Saponin Glycoside,Journal of Diabetes & Metabolism,Induces β-cell regeneration and enhances endogenous insulin biosynthesis.,,,,,,,,,,,,,,,,
Charantin,Momordica charantia / M. cymbalaria,Bitter Melon,Cucurbitaceae,"Fruit pulp, seeds",Nigeria,296119,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,C35H60O6,"Hypoglycemic, antidiabetic","Pancreatic β-cells, gluconeogenic enzymes",10.4172/2155-6156.1000546,2015,AFRO11_024,Steroidal Saponin Glycoside,Journal of Diabetes & Metabolism,Exerts extra-pancreatic glycemic control and stimulates insulin secretion.,576.86,5.85,4.0,6.0,99.38,9.0,41.0,0.0,0.943,0.257,2.0,False,True,False,0.2869910886203952,2.231323262855425
Senegin-II,Polygala senega L.,Seneca snakeroot,Polygalaceae,Rhizomes,Nigeria,11953920,CC1C(C(C(C(O1)OC2C(C(C(OC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4)CO)(CCC7C6(CC(C(C7(C)C(=O)O)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)C)OC(=O)C=CC9=CC(=C(C=C9)OC)OC)O)O)O)OC1C(C(C(CO1)OC1C(C(C(C(O1)CO)O)O)O)O)O,C70H104O32,"Antidiabetic, insulin sensitizer",Liver glucose output pathways,10.4172/2155-6156.1000546,2015,AFRO11_025,Triterpenoid Saponin Glycoside,Journal of Diabetes & Metabolism,Decreases hepatic glucose output without altering plasma insulin concentration.,1457.57,-2.23,16.0,31.0,494.88,19.0,102.0,1.0,0.814,0.03,3.0,False,False,False,10.379539298120097,3.1621227028862204
Epicatechin,Pterocarpus marsupium,Indian Kino,Fabaceae,Bark,Nigeria,72276,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,C15H14O6,"Antidiabetic, β-cell regenerator",Functional pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_026,Flavan-3-ol / Tannin,Journal of Diabetes & Metabolism,Prevents β-cell damage and regenerates functional pancreatic islets.,290.27,1.55,5.0,6.0,110.38,1.0,21.0,2.0,0.2,0.51,0.0,True,True,True,0.04268653051138944,-0.6995940312735793
Pterostilbene,Pterocarpus marsupium,Indian Kino,Fabaceae,Bark,Nigeria,5281727,COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC,C16H16O3,"Antidiabetic, antioxidant",Pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_027,Stilbenoid / Flavonoid,Journal of Diabetes & Metabolism,Enhances insulin secretion.,256.3,3.58,1.0,3.0,38.69,4.0,19.0,2.0,0.125,0.85,0.0,True,True,False,-1.514858362881524,0.3514535570863946
Mycaminose,Syzygium cumini,Java Plum,Myrtaceae,"Seeds, leaves, fruit pulp",Nigeria,160504,CC(C(C(C(C=O)O)N(C)C)O)O,C8H17NO4,"Hypoglycemic, peripheral glucose utilization activator",Peripheral glucose utilization kinases,10.4172/2155-6156.1000546,2015,AFRO11_028,Amino Sugar Glycoside,Journal of Diabetes & Metabolism,Stimulates kinases involved in peripheral glucose utilization.,191.23,-1.78,3.0,5.0,81.0,5.0,13.0,0.0,0.875,0.448,0.0,True,True,False,-0.2582601642213772,-0.890889165577593
Trigonelline,Trigonella foenum-graecum L.,Fenugreek,Fabaceae,Seeds,Nigeria,5570,C[N+]1=CC=CC(=C1)C(=O)[O-],C7H7NO2,"Antidiabetic, insulin secretagogue","Pancreatic β-cells, intestinal disaccharidases",10.4172/2155-6156.1000546,2015,AFRO11_029,Pyridine Alkaloid,Journal of Diabetes & Metabolism,Delays carbohydrate digestion/absorption and increases glucose-induced insulin secretion.,137.14,-1.13,0.0,2.0,44.01,1.0,10.0,1.0,0.143,0.46,0.0,True,True,False,-1.5676966879820429,-1.4385408500282575
4-Hydroxyisoleucine,Trigonella foenum-graecum L.,Fenugreek,Fabaceae,Seeds,Nigeria,2773624,CC(C(C)O)C(C(=O)O)N,C6H13NO3,Insulin secretagogue,Pancreatic β-cells,10.4172/2155-6156.1000546,2015,AFRO11_030,Non-protein Amino Acid,Journal of Diabetes & Metabolism,Stimulates glucose-dependent insulin secretion.,147.17,-0.58,3.0,3.0,83.55,3.0,10.0,0.0,0.833,0.498,0.0,True,True,False,-0.7549424965357718,-1.0350090521496311
Marsectohexol,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,15560121,CC(C1CCC2(C1(C(C(C3C2(CC=C4C3(CCC(C4)O)C)O)O)O)C)O)O,C21H34O6,"α-Amylase inhibitor, blood glucose level reduction","Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_031,Steroidal Pregnane,Frontiers in Molecular Biosciences,"Demonstrated an IC50 of 10.01 µM against porcine pancreatic α-amylase, outperforming reference acarbose (IC50 = 13.47 µM).",382.5,0.48,6.0,6.0,121.38,1.0,27.0,0.0,0.905,0.367,1.0,True,True,True,0.6186674213865196,-0.7870012930859831
"3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-oleandropyranosyl]-11,12-di-O-tigloyl-17$\beta$-marsdenin (Iloneoside)",Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_032,Pregnane Glycoside,Frontiers in Molecular Biosciences,Showed an IC50 of 12.10 µM against porcine pancreatic α-amylase.,,,,,,,,,,,,,,,,
3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-oleandropyranosyl]-17$\beta$-marsdenin,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_033,Pregnane Glycoside,Frontiers in Molecular Biosciences,"Evaluated via in vitro DNSA assay (IC50 = 14.03 µM), active-site docking, and 100-ns molecular dynamics simulations.",,,,,,,,,,,,,,,,
3-O-[6-deoxy-3-O-methyl-β-D-allopyranosyl-(1$\rightarrow4)−\beta$-D-canaropyranosyl]-17$\beta$-marsdenin,Gongronema latifolium Benth.,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,None,,,α-Amylase inhibitor,"Porcine Pancreatic α-Amylase (PPA), Human Pancreatic α-Amylase (HPA), Human Salivary α-Amylase (HSA)",10.3389/fmolb.2022.866719,2022,AFRO11_034,Pregnane Glycoside,Frontiers in Molecular Biosciences,Showed an IC50 of 13.71 µM against porcine pancreatic α-amylase.,,,,,,,,,,,,,,,,
Quercetin,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,C15H10O7,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_035,Flavonoid,SN Applied Sciences,"Docking scores: -13.138 kcal/mol (GSK-3$\beta$), -12.860 kcal/mol (GLP-1R), -11.687 kcal/mol (Aldose Reductase).",302.24,1.99,5.0,7.0,131.36,1.0,22.0,3.0,0.0,0.434,0.0,True,True,True,0.24184569522830912,-0.5992229470082536
Chicoric acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281764,C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,C22H18O12,"Multi-target T2DM inhibitor, GLP-1R agonist","GSK-3β, GLP-1R, Human Aldose Reductase",10.1007/s42452-021-04880-2,2022,AFRO11_036,Hydroxycinnamic acid,SN Applied Sciences,Exhibited high stability with GLP-1R (ΔG = -62.038 kcal/mol) and high docking scores across all three targets.,474.37,1.23,6.0,10.0,208.12,9.0,34.0,2.0,0.091,0.172,1.0,True,False,True,1.9176176846235056,0.8508700797321509
Rosmarinic acid,Gongronema latifolium,"Bushbuck (English), Utazi (Igbo), Madumaro/Arokeke (Yoruba), Utasi (Ibibio/Efik)",Asclepiadaceae,Leaf,Nigeria,5281792,C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,C18H16O8,"Aldose Reductase inhibitor, GSK-3$\beta$ inhibitor","Human Aldose Reductase, GSK-3$\beta$, GLP-1R",10.1007/s42452-021-04880-2,2022,AFRO11_037,Hydroxycinnamic acid,SN Applied Sciences,Lowest binding energy against Aldose Reductase with an XP glide score of -15.385 kcal/mol.,360.32,1.76,5.0,7.0,144.52,6.0,26.0,2.0,0.111,0.298,0.0,True,False,True,0.6521017577289976,0.3159111961313288
S-methylcysteinesulfoxide (SMCS),Allium cepa L.,Onion,Alliaceae,Bulb,Nigeria,82142,CS(=O)CC(C(=O)O)N,C4H9NO3S,"Antidiabetic, insulin secretagogue","Pancreatic β-cells, liver insulin-inactivating sites",10.4172/2155-6156.1000546,2015,AFRO11_038,Organosulfur / Amino acid derivative,Journal of Diabetes & Metabolism,Stimulates insulin secretion; competes with insulin for liver inactivating sites.,151.19,-1.22,2.0,3.0,80.39,3.0,9.0,0.0,0.75,0.529,0.0,True,True,False,-0.8401068025198729,-1.152651385936349
S-allylcysteinesulfoxide (SACS),Allium sativum L.,Garlic,Alliaceae,Clove,Nigeria,121922,C=CCS(=O)CC(C(=O)O)N,C6H11NO3S,"Antidiabetic, antioxidant, gluconeogenesis inhibitor","Hepatic gluconeogenic enzymes, pancreatic β-cells",10.4172/2155-6156.1000546,2015,AFRO11_039,Organosulfur / Amino acid derivative,Journal of Diabetes & Metabolism,Inhibits gluconeogenesis and lipid peroxidation; precursor of allicin.,177.22,-0.67,2.0,3.0,80.39,5.0,11.0,0.0,0.5,0.546,0.0,True,True,False,-0.7764609892470875,-0.6327857907150923
Lophenol,Aloe vera (L.) Burm.f.,Aloe vera,Asphodelaceae,Leaf gel / pulp,Nigeria,160482,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCCC(C)C)C)C)O,C28H48O,"Antidiabetic, blood glucose lowering","Pancreatic β-cells, carbohydrate metabolizing enzymes",10.4172/2155-6156.1000546,2015,AFRO11_040,Phytosterol,Journal of Diabetes & Metabolism,Causes significant reduction in HbA1c levels.,400.69,7.63,1.0,1.0,20.23,5.0,29.0,0.0,0.929,0.47,1.0,True,True,False,-1.9068095317212066,1.747114526964498
Catharanthine,Catharanthus roseus (L.) G.Don,Madagascar Periwinkle,Apocynaceae,Fresh leaf juice,"Nigeria, UK",5458190,CCC1=CC2CC3(C1N(C2)CCC4=C3NC5=CC=CC=C45)C(=O)OC,C21H24N2O2,"Hypoglycemic, antidiabetic",Hepatic glucose metabolizing enzymes,10.4172/2155-6156.1000546,2015,AFRO11_041,Terpenoid Indole Alkaloid,Journal of Diabetes & Metabolism,Increases hepatic utilization of glucose.,336.44,3.18,1.0,3.0,45.33,2.0,25.0,2.0,0.476,0.677,0.0,True,True,True,-1.291099418854623,0.06655353823470994
