Compound_ID,Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,InChIKey,Molecular_Formula,Molecular_Weight,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations,Lipinski_Status,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_Class,Compound_Superclass,Data_Source,Notes,Validation_Status,Fraction_CSP3,Ring_Count,Aromatic_Ring_Count,Heavy_Atom_Count,Molar_Refractivity,QED_Score,Veber_Status,Ghose_Violations,Ghose_Status
AFRO-0011,Sinalbin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,656568,O=S(=O)(O)ON=C(Cc1ccc(O)cc1)SC1OC(CO)C(O)C(O)C1O,WWBNBPSEKLOHJU-UHFFFAOYSA-N,C14H19NO10S2,425.4370000000001,-1.3993,6,11,186.34,6,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Glucosinolate,Organosulfur Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.5,2,1,27,93.23760000000003,0.1361681297016531,Fail,1,Fail
AFRO-0012,Rutin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280805,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,IKGXIBQEEMLURG-NVPNHPEKSA-N,C27H30O16,610.5210000000004,-1.6871,10,16,269.4299999999999,6,3,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.4444444444444444,5,3,43,140.196,0.1395178432216246,Fail,3,Fail
AFRO-0013,Daidzein,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281708,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C15H10O4,254.241,2.871200000000001,2,4,70.67,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Isoflavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,19,71.24960000000002,0.700091545915688,Pass,1,Fail
AFRO-0014,Chlorogenic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,1794427,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,CWVRJTMFETXNAD-JUHZACGLSA-N,C16H18O9,354.311,-0.6459000000000001,6,8,164.75,4,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.375,2,1,25,82.51880000000001,0.2340852797608433,Fail,1,Fail
AFRO-0015,Cryptochlorogenic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,9798666,O=C(/C=C/c1ccc(O)c(O)c1)OC1[C@H](O)CC(O)(C(=O)O)C[C@H]1O,GYFFKZTYYAFCTR-AVXJPILUSA-N,C16H18O9,354.3110000000001,-0.6459000000000006,6,8,164.75,4,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.375,2,1,25,82.51880000000001,0.2340852797608433,Fail,1,Fail
AFRO-0016,Marumoside A,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,101794623,C[C@@H]1O[C@@H](Oc2ccc(CC(N)=O)cc2)[C@H](O)[C@H](O)[C@H]1O,FBANEUHXMFEIRO-WBFOWJMUSA-N,C14H19NO6,297.307,-1.0793,4,6,122.24,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic Compound,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.5,2,1,21,72.32380000000002,0.560603061692137,Pass,1,Fail
AFRO-0017,Myricetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,101794623,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IKMDFBPHZNJCSN-UHFFFAOYSA-N,C15H10O8,318.237,1.6936,6,8,151.59,1,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,23,77.90879999999999,0.3707504645634647,Fail,0,Pass
AFRO-0018,Kaempferol-3-O-glucoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5282102,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,YPWHZCPMOQGCDQ-HMGRVEAOSA-N,C21H20O11,448.3800000000002,-0.2445000000000002,7,11,190.28,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.2857142857142857,4,3,32,107.3096,0.2786277523316124,Fail,0,Pass
AFRO-0019,Luteolin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280445,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.239,2.2824,4,6,111.13,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,21,74.5792,0.5106223467843569,Pass,0,Pass
AFRO-0020,Quercetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280343,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.2380000000001,1.988,5,7,131.36,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,22,76.244,0.4341904402990981,Pass,0,Pass
AFRO-0021,Apigenin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280443,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C15H10O5,270.24,2.576800000000001,3,5,90.9,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,20,72.91440000000001,0.6318329361180623,Pass,0,Pass
AFRO-0022,Isorhamnetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281654,COc1cc(O)ccc1-c1oc2cc(O)cc(O)c2c(=O)c1O,KOGSTTPXQAYLHK-UHFFFAOYSA-N,C16H12O7,316.265,2.291,4,7,120.36,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0625,3,3,23,81.1312,0.5721390849031665,Pass,0,Pass
AFRO-0023,Kaempferol-3-O-alpha-rhamnoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5316673,CC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,SOSLMHZOJATCCP-UHFFFAOYSA-N,C21H20O10,432.3810000000001,0.7830999999999995,6,10,170.05,3,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.2857142857142857,4,3,31,105.8978,0.347581342444577,Fail,0,Pass
AFRO-0024,Astragalin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5282102,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,YPWHZCPMOQGCDQ-HMGRVEAOSA-N,C21H20O11,448.3800000000002,-0.2445000000000002,7,11,190.28,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.2857142857142857,4,3,32,107.3096,0.2786277523316124,Fail,0,Pass
AFRO-0025,Kaempferol,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280863,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,C15H10O6,286.239,2.2824,4,6,111.13,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,21,74.5792,0.5458513994143424,Pass,0,Pass
AFRO-0026,Niazirinin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10426197,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc(CC#N)cc2)O[C@H]1C,QSGQMXJNFWYWMM-QOYUQHOESA-N,C16H19NO6,321.329,0.5297799999999995,2,7,109.01,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenylpropanoid glycoside,Phenylpropanoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.5,2,1,23,78.28960000000004,0.7784911447253746,Pass,0,Pass
AFRO-0027,Kaempferol-3-O-rutinoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5318767,CC1OC(O[C@@H]2C(O)[C@H](CO)O[C@H](O[C@@H]3OC(CO)C(O)C(O)C3O)[C@H]2O)C(O)C(O)C1O,LUUKUKOJVUARLB-OKEYHNKUSA-N,C18H32O15,488.4390000000001,-6.545399999999989,10,15,248.45,6,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,1.0,3,0,33,99.84100000000001,0.166843493938303,Fail,2,Fail
AFRO-0028,Quercetin-3-O-glucoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280804,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,OVSQVDMCBVZWGM-UHFFFAOYSA-N,C21H20O12,464.3790000000002,-0.5388999999999995,8,12,210.51,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.2857142857142857,4,3,33,108.9744,0.2288751447852226,Fail,1,Fail
AFRO-0029,Sinapinic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637775,COc1cc(O)c(OC)c(/C=C/C(=O)O)c1,PURQJDIUEDXRAB-ONEGZZNKSA-N,C11H12O5,224.212,1.5072,2,4,75.99,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.1818181818181818,1,1,16,57.88060000000002,0.7578877168072972,Pass,1,Fail
AFRO-0030,Ferulic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,445858,COc1cc(/C=C/C(=O)O)ccc1O,KSEBMYQBYZTDHS-HWKANZROSA-N,C10H10O4,194.186,1.4986,2,3,66.76,3,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.1,1,1,14,51.32860000000002,0.7153202107154631,Pass,1,Fail
AFRO-0031,Beta-sitosterol,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,222284,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,C29H50O,414.7180000000003,8.02480000000001,1,1,20.23,6,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phytosterol,Steroid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.9310344827586207,4,0,30,128.2168000000001,0.436095641737511,Pass,1,Fail
AFRO-0032,Caffeic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,689043,O=C(O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,C9H8O4,180.159,1.1956,3,3,77.76,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,13,46.44140000000002,0.4716213331416678,Pass,1,Fail
AFRO-0033,Gentisic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,3469,O=C(O)c1cccc(O)c1O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,C7H6O4,154.121,0.7959999999999998,3,3,77.76,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,11,36.73090000000001,0.5224912248827285,Pass,3,Fail
AFRO-0034,o-Coumaric acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637540,O=C(O)C=Cc1ccccc1O,PMOWTIHVNWZYFI-UHFFFAOYSA-N,C9H8O3,164.16,1.49,2,2,57.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,44.77660000000002,0.65083387330713,Pass,1,Fail
AFRO-0035,Gallic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,370,O=C(O)c1cc(O)c(O)cc1O,GPDXFYPVHRESMA-UHFFFAOYSA-N,C7H6O5,170.12,0.5015999999999996,4,4,97.99000000000001,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,38.39570000000001,0.3631403063493166,Pass,2,Fail
AFRO-0036,Salicylic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,338,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C7H6O3,138.122,1.0904,2,2,57.53,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,10,35.06610000000001,0.6102585058580265,Pass,3,Fail
AFRO-0037,p-Coumaric acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637542,O=C(O)/C=C/c1ccc(O)cc1,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C9H8O3,164.16,1.49,2,2,57.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,44.77660000000002,0.65083387330713,Pass,1,Fail
AFRO-0038,Syringic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10742,COc1cc(C(=O)O)cc(OC)c1O,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,C9H10O5,198.174,1.1076,2,4,75.99000000000001,3,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.2222222222222222,1,1,14,48.17010000000002,0.7602674433200692,Pass,1,Fail
AFRO-0039,D-Allose,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,439353,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,GZCGUPFRVQAUEE-FSIIMWSLSA-N,C6H12O6,180.156,-3.3788,5,6,118.22,5,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Monosaccharide,Carbohydrate,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.8333333333333334,0,0,12,37.177,0.2816378107304672,Pass,3,Fail
AFRO-0040,Niaziminin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10023860,CC(=O)OC1C(C(OC(C1O)C)OC2=CC=C(C=C2)CNC(=S)OC)O,XWQBHXJFNACNQR-UHFFFAOYSA-N,C21H20O11,448.3800000000002,-0.2444999999999992,7,11,190.28,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Thiocarbamate glycoside,Organosulfur Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.2857142857142857,4,3,32,107.3096,0.2786277523316124,Fail,0,Pass
AFRO-0041,Vanillin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,1183,COc1cc(C=O)ccc1O,MWOOGOJBHIARFG-UHFFFAOYSA-N,C8H8O3,152.149,1.2133,1,3,46.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic aldehyde,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.125,1,1,11,40.04630000000002,0.6477438574453785,Pass,2,Fail
