Compound_ID,Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,InChIKey,Molecular_Formula,Molecular_Weight,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations,Lipinski_Status,Reported_Activity,Assay_Target,Source_DOI_or_URL,Reference_Year,Compound_Class,Compound_Superclass,Data_Source,Notes,Validation_Status,Fraction_CSP3,Ring_Count,Aromatic_Ring_Count,Heavy_Atom_Count,Molar_Refractivity,QED_Score,Veber_Status,Ghose_Violations,Ghose_Status
AFRO-0011,Sinalbin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,656568,O=S(=O)(O)ON=C(Cc1ccc(O)cc1)SC1OC(CO)C(O)C(O)C1O,WWBNBPSEKLOHJU-UHFFFAOYSA-N,C14H19NO10S2,425.437,-1.3993,6,11,186.34,6,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Glucosinolate,Organosulfur Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.5,2,1,27,93.2376,0.136168,Fail,1,Fail
AFRO-0012,Rutin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280805,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,IKGXIBQEEMLURG-NVPNHPEKSA-N,C27H30O16,610.521,-1.6871,10,16,269.43,6,3,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.444444,5,3,43,140.196,0.139518,Fail,3,Fail
AFRO-0013,Daidzein,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281708,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C15H10O4,254.241,2.8712,2,4,70.67,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Isoflavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,19,71.2496,0.700092,Pass,1,Fail
AFRO-0014,Chlorogenic Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,1794427,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,CWVRJTMFETXNAD-JUHZACGLSA-N,C16H18O9,354.311,-0.6459,6,8,164.75,4,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.375,2,1,25,82.5188,0.234085,Fail,1,Fail
AFRO-0015,Cryptochlorogenic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,9798666,O=C(/C=C/c1ccc(O)c(O)c1)OC1[C@H](O)CC(O)(C(=O)O)C[C@H]1O,GYFFKZTYYAFCTR-AVXJPILUSA-N,C16H18O9,354.311,-0.6459,6,8,164.75,4,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.375,2,1,25,82.5188,0.234085,Fail,1,Fail
AFRO-0016,Marumoside A,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,101794623,C[C@@H]1O[C@@H](Oc2ccc(CC(N)=O)cc2)[C@H](O)[C@H](O)[C@H]1O,FBANEUHXMFEIRO-WBFOWJMUSA-N,C14H19NO6,297.307,-1.0793,4,6,122.24,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic Compound,Phenolic Compound,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.5,2,1,21,72.3238,0.560603,Pass,1,Fail
AFRO-0017,Myricetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281672,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,IKMDFBPHZNJCSN-UHFFFAOYSA-N,C15H10O8,318.237,1.6936,6,8,151.59,1,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,23,77.9088,0.37075,Fail,0,Pass
AFRO-0018,Kaempferol-3-O-glucoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5282102,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,YPWHZCPMOQGCDQ-HMGRVEAOSA-N,C21H20O11,448.38,-0.2445,7,11,190.28,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.285714,4,3,32,107.3096,0.278628,Fail,0,Pass
AFRO-0019,Luteolin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280445,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IQPNAANSBPBGFQ-UHFFFAOYSA-N,C15H10O6,286.239,2.2824,4,6,111.13,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,21,74.5792,0.510622,Pass,0,Pass
AFRO-0020,Quercetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280343,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.238,1.988,5,7,131.36,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,22,76.244,0.43419,Pass,0,Pass
AFRO-0021,Apigenin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280443,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C15H10O5,270.24,2.5768,3,5,90.9,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavone,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,20,72.9144,0.631833,Pass,0,Pass
AFRO-0022,Isorhamnetin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5281654,COc1cc(O)ccc1-c1oc2cc(O)cc(O)c2c(=O)c1O,KOGSTTPXQAYLHK-UHFFFAOYSA-N,C16H12O7,316.265,2.291,4,7,120.36,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0625,3,3,23,81.1312,0.572139,Pass,0,Pass
AFRO-0023,Kaempferol-3-O-alpha-rhamnoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5316673,CC1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,SOSLMHZOJATCCP-UHFFFAOYSA-N,C21H20O10,432.381,0.7831,6,10,170.05,3,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.285714,4,3,31,105.8978,0.347581,Fail,0,Pass
AFRO-0024,Kaempferol,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280863,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IYRMWMYZSQPJKC-UHFFFAOYSA-N,C15H10O6,286.239,2.2824,4,6,111.13,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol,Flavonoid,Open Chemistry (De Gruyter),Selected via MD simulation and MM-PBSA,Verified,0.0,3,3,21,74.5792,0.545851,Pass,0,Pass
AFRO-0025,Niazirinin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10426197,CC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc(CC#N)cc2)O[C@H]1C,QSGQMXJNFWYWMM-QOYUQHOESA-N,C16H19NO6,321.329,0.5298,2,7,109.01,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenylpropanoid glycoside,Phenylpropanoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.5,2,1,23,78.2896,0.778491,Pass,0,Pass
AFRO-0026,Kaempferol-3-O-rutinoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5318767,CC1OC(O[C@@H]2C(O)[C@H](CO)O[C@H](O[C@@H]3OC(CO)C(O)C(O)C3O)[C@H]2O)C(O)C(O)C1O,LUUKUKOJVUARLB-OKEYHNKUSA-N,C18H32O15,488.439,-6.5454,10,15,248.45,6,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,1.0,3,0,33,99.841,0.166843,Fail,2,Fail
AFRO-0027,Quercetin-3-O-glucoside,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,5280804,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,OVSQVDMCBVZWGM-UHFFFAOYSA-N,C21H20O12,464.379,-0.5389,8,12,210.51,4,2,Fail,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Flavonol glycoside,Flavonoid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.285714,4,3,33,108.9744,0.228875,Fail,1,Fail
AFRO-0028,Sinapinic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637775,COc1cc(O)c(OC)c(/C=C/C(=O)O)c1,PURQJDIUEDXRAB-ONEGZZNKSA-N,C11H12O5,224.212,1.5072,2,4,75.99,4,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.181818,1,1,16,57.8806,0.757888,Pass,1,Fail
AFRO-0029,Ferulic Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,445858,COc1cc(/C=C/C(=O)O)ccc1O,KSEBMYQBYZTDHS-HWKANZROSA-N,C10H10O4,194.186,1.4986,2,3,66.76,3,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.1,1,1,14,51.3286,0.71532,Pass,1,Fail
AFRO-0030,Beta-Sitosterol,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,222284,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,C29H50O,414.718,8.0248,1,1,20.23,6,1,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phytosterol,Steroid,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.931034,4,0,30,128.2168,0.436096,Pass,1,Fail
AFRO-0031,Caffeic Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,689043,O=C(O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,C9H8O4,180.159,1.1956,3,3,77.76,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,13,46.4414,0.471621,Pass,1,Fail
AFRO-0032,Gentisic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,3469,O=C(O)c1cccc(O)c1O,GLDQAMYCGOIJDV-UHFFFAOYSA-N,C7H6O4,154.121,0.796,3,3,77.76,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,11,36.7309,0.522491,Pass,3,Fail
AFRO-0033,o-Coumaric acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637540,O=C(O)C=Cc1ccccc1O,PMOWTIHVNWZYFI-UHFFFAOYSA-N,C9H8O3,164.16,1.49,2,2,57.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,44.7766,0.650834,Pass,1,Fail
AFRO-0034,Gallic Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,370,O=C(O)c1cc(O)c(O)c(O)c1,LNTHITQWFMADLM-UHFFFAOYSA-N,C7H6O5,170.12,0.5016,4,4,97.99,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,38.3957,0.459888,Pass,2,Fail
AFRO-0035,Salicylic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,338,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,C7H6O3,138.122,1.0904,2,2,57.53,1,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,10,35.0661,0.610259,Pass,3,Fail
AFRO-0036,p-Coumaric Acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,637542,O=C(O)/C=C/c1ccc(O)cc1,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C9H8O3,164.16,1.49,2,2,57.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.0,1,1,12,44.7766,0.650834,Pass,1,Fail
AFRO-0037,Syringic acid,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10742,COc1cc(C(=O)O)cc(OC)c1O,JMSVCTWVEWCHDZ-UHFFFAOYSA-N,C9H10O5,198.174,1.1076,2,4,75.99,3,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic acid,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.222222,1,1,14,48.1701,0.760267,Pass,1,Fail
AFRO-0038,D-Allose,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,439353,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,GZCGUPFRVQAUEE-FSIIMWSLSA-N,C6H12O6,180.156,-3.3788,5,6,118.22,5,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Monosaccharide,Carbohydrate,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.833333,0,0,12,37.177,0.281638,Pass,3,Fail
AFRO-0039,Niaziminin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,10023860,CC(=O)OC1C(C(OC(C1O)C)OC2=CC=C(C=C2)CNC(=S)OC)O,KEMVAGYVWTXOKO-UHFFFAOYSA-N,C17H23NO7S,385.438,0.4846,3,8,106.48,5,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Thiocarbamate glycoside,Organosulfur Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.529412,2,1,26,95.4193,0.492883,Pass,0,Pass
AFRO-0040,Vanillin,Moringa oleifera,Miracle Tree,Moringaceae,Leaf,Nigeria,1183,COc1cc(C=O)ccc1O,MWOOGOJBHIARFG-UHFFFAOYSA-N,C8H8O3,152.149,1.2133,1,3,46.53,2,0,Pass,Potential PPAR-γ receptor agonist / Anti-diabetic,PPAR-γ (PDB ID: 8DK4),10.1515/chem-2025-0216,2025,Phenolic aldehyde,Phenolic Compound,Open Chemistry (De Gruyter),"Extracted from PubChem, screening against INSR",Verified,0.125,1,1,11,40.0463,0.647744,Pass,2,Fail
AFRO-0041,Mangiferin,Mangifera indica,Mango,Anacardiaceae,Leaves; Bark,Nigeria,5281647,O=C1c2cc(O)c(O)cc2C(=O)c2c1cc(O)c(O)c2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,SLXXRYBPSNCVFA-FJITVDBRSA-N,C20H18O11,434.353,-1.2007,8,11,205.21,2,2,Fail,"Antidiabetic, hypoglycemic, antioxidant","α-Amylase, α-Glucosidase, PTP1B, DPP-4",10.63125/anaf6b94,2022,Xanthone glycoside,Glycoside,American Journal of Interdisciplinary Studies (American Scholarly Publishing Group Inc),Systematic review docking & MD synthesis,Verified,0.3,4,2,31,99.1284,0.224839,Fail,1,Fail
AFRO-0042,Quercetin,Mangifera indica,Mango,Anacardiaceae,Peel; Leaves,Nigeria,5280343,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,REFJWTPEDVJJIY-UHFFFAOYSA-N,C15H10O7,302.238,1.988,5,7,131.36,1,0,Pass,"Antidiabetic, antioxidant, α-glucosidase inhibition","α-Amylase, α-Glucosidase, PTP1B, DPP-4",10.63125/anaf6b94,2022,Flavonol,Flavonoid,American Journal of Interdisciplinary Studies (American Scholarly Publishing Group Inc),Systematic review docking & in vitro synthesis,Verified,0.0,3,3,22,76.244,0.43419,Pass,0,Pass
